variant,source,f_revised,progress,comment
l-glutamine,synthetic | corn,fortification_agent,todo,
sadhakuppai,sadhakuppai,taste profile / spice,todo,
silver leaf,mineral,colour,todo,
iodised salt,mineral,raw_agricultural_material,todo,
iodized salt,mineral,raw_agricultural_material,todo,
lodised salt,mineral,raw_agricultural_material,todo,
lodized salt,mineral,raw_agricultural_material,todo,
carrot puree,carrot,raw_agricultural_material,todo,
color red 40,synthetic,colour,todo,
color blue 1,synthetic,colour,todo,
maize starch,corn,processed_ingredient,todo,
dates powder,dates,sweetener,todo,
fresh garlic,garlic,taste profile / spice,todo,
dried garlic,garlic,taste profile / spice,todo,
garlic paste,garlic,taste profile / spice,todo,
fresh ginger,ginger,taste profile / spice,todo,
dried ginger,ginger,taste profile / spice,todo,
ginger paste,ginger,taste profile / spice,todo,
ginger whole,ginger,taste profile / spice,todo,
wheat powder,wheat,raw_agricultural_material,todo,
mango solids,mango,processed_ingredient,todo,
mango powder,mango,sweetener,todo,
samai flakes,samai,raw_agricultural_material,todo,
bajra flakes,bajra,raw_agricultural_material,todo,
bajra powder,bajra,raw_agricultural_material,todo,
whole jawari,sorghum,raw_agricultural_material,todo,
pist extract,pistachio,flavouring agent,todo,
sesame seeds,sesame,raw_agricultural_material,todo,
defatted soy,soybean,processed_ingredient,todo,
soyabean oil,soybean,lipid base,todo,
soya protein,soybean,processed_ingredient,todo,
added sugars,sugarcane,sweetener,todo,
sugar powder,sugarcane,sweetener,todo,
invert sugar,sugarcane,sweetener,todo,
invert sugar,sugarcane,sweetener,done,"duplicate of row 671"
invert syrup,sugarcane,sweetener,todo,
golden syrup,sugarcane,sweetener,todo,
wheat flakes,wheat,raw_agricultural_material,todo,
malted wheat,wheat,raw_agricultural_material,todo,
wheat gluten,wheat,processed_ingredient,todo,
vital gluten,wheat,processed_ingredient,todo,
almond flour,almond,raw_agricultural_material,todo,
almond paste,almond,raw_agricultural_material,todo,
diphosphates,mineral,acidity regulator,todo,
instant oats,oats,raw_agricultural_material,todo,
curry leaves,curry leaf,taste profile / spice,todo,
kasuri methi,fenugreek,taste profile / spice,todo,
orange juice,orange,flavouring agent,todo,
orange peels,orange,flavouring agent,todo,
fennel seeds,fennel,taste profile / spice,todo,
skimmed milk,milk,raw_agricultural_material,todo,
buffalo milk,buffalo milk,raw_agricultural_material,todo,
torula yeast,yeast,fermentation_agent,todo,
whey protein,milk,processed_ingredient,todo,
acesulfame k,synthetic,sweetener,todo,
carrom seeds,carom,taste profile / spice,todo,
ajwai powder,carom,taste profile / spice,todo,
talc ins 553,mineral,anticaking agent,todo,
apricot pulp,apricot,raw_agricultural_material,todo,
coffee beans,coffee,flavouring agent,todo,
aronia berry,aronia,raw_agricultural_material,todo,
banana juice,banana,flavouring agent,todo,
banana puree,banana,raw_agricultural_material,todo,
barley flour,barley,raw_agricultural_material,todo,
tulsi leaves,tulsi,flavouring agent,todo,
basmati rice,rice,raw_agricultural_material,todo,
french beans,french bean,raw_agricultural_material,todo,
cluster bean,cluster bean,raw_agricultural_material,todo,
roasted gram,chickpea,raw_agricultural_material,todo,
black pepper,black pepper,taste profile / spice,todo,
buffalo meat,buffalo,raw_agricultural_material,todo,
white butter,milk,lipid base,todo,
butter cream,milk,lipid base,todo,
beurre fondu,milk,lipid base,todo,
malt extract,barley,sweetener,todo,
paneer dices,milk,processed_ingredient,todo,
chicken bits,chicken,raw_agricultural_material,todo,
chicken meat,chicken,raw_agricultural_material,todo,
chicory root,chicory,raw_agricultural_material,todo,
chili powder,chili,taste profile / spice,todo,
green chilli,chili,taste profile / spice,todo,
green chilly,chili,taste profile / spice,todo,
red chillies,chili,taste profile / spice,todo,
chili powder,chili,taste profile / spice,done,"duplicate of row 717"
white chilli,chili,taste profile / spice,todo,
clove powder,clove,taste profile / spice,todo,
cloves whole,clove,taste profile / spice,todo,
whole cloves,clove,taste profile / spice,todo,
cocoa powder,cocoa,flavouring agent,todo,
cocoa solids,cocoa,flavouring agent,todo,
cocoa butter,cocoa,lipid base,todo,
cumin powder,cumin,taste profile / spice,todo,
jeera powder,cumin,taste profile / spice,todo,
ground cumin,cumin,taste profile / spice,todo,
cuminextract,cumin,taste profile / spice,todo,
electrolytes,mineral,fortification_agent,todo,
carnauba wax,carnauba palm,glazing agent,todo,
kalonji seed,kalonji,taste profile / spice,todo,
soy lecithin,soybean | sunflower,emulsifier,todo,
lemon powder,lemon,flavouring agent,todo,
maltodextrin,corn | tapioca,bulking agent,todo,
milk protein,milk,processed_ingredient,todo,
nicotinamide,synthetic,fortification_agent,todo,
onion powder,onion,taste profile / spice,todo,
onion flakes,onion,taste profile / spice,todo,
spring onion,spring onion,taste profile / spice,todo,
papaya puree,papaya,raw_agricultural_material,todo,
rapeseed oil,rapeseed,lipid base,todo,
basmati rice,rice,raw_agricultural_material,done,"duplicate of row 703"
malt extract,barley,sweetener,done,"duplicate of row 712"
roasted poha,rice,raw_agricultural_material,todo,
maltodextrin,corn | tapioca,bulking agent,done,"duplicate of row 738"
stearic acid,palm | soybean,emulsifier,todo,
tangy tomato,tomato,taste profile / spice,todo,
tomato paste,tomato,raw_agricultural_material,todo,
white pepper,pepper,taste profile / spice,todo,
whole grains,wheat | rice | corn,raw_agricultural_material,todo,
athimathuram,licorice,taste profile / spice,todo,
berries pulp,berry,raw_agricultural_material,todo,
bhut jolokia,bhut jolokia,taste profile / spice,todo,
fish gelatin,fish,gelling agent,todo,
calcium salt,mineral,fortification_agent,todo,
green chives,chives,taste profile / spice,todo,
citrus fiber,citrus,bulking agent,todo,
citrus fibre,citrus,bulking agent,todo,
sweet potato,sweet potato,raw_agricultural_material,todo,
ferrous salt,mineral,fortification_agent,todo,
fumaric acid,synthetic,acidity regulator,todo,
lutein color,marigold,colour,todo,
l-lysine hcl,synthetic,fortification_agent,todo,
methocel k4m,synthetic,thickener,todo,
nata de coco,coconut,gelling agent,todo,
palm stearin,palm,lipid base,todo,
stone flower,lichen,taste profile / spice,todo,
palmolein oil,palm,lipid base,todo,
palmolien oil,palm,lipid base,todo,
vegetable fat,palm | soybean | groundnut,lipid base,todo,
vegetable oil,palm | soybean | sunflower | groundnut,lipid base,todo,
sauncharnamak,mineral,taste profile / spice,todo,
carrot powder,carrot,colour,todo,
carrot flakes,carrot,colour,todo,
cashew pieces,cashew,raw_agricultural_material,todo,
whole cashews,cashew,raw_agricultural_material,todo,
color ins 102,synthetic,colour,todo,
yellow 5 lake,synthetic,colour,todo,
color ins 110,synthetic,colour,todo,
yellow 6 lake,synthetic,colour,todo,
caramel color,sugarcane,colour,todo,
color annatto,annatto,colour,todo,
color ins 100,turmeric,colour,todo,
color ins 162,beetroot,colour,todo,
color ins 163,grape | berry,colour,todo,
color ins 171,mineral,colour,todo,
color ins 141,spinach | spirulina,colour,todo,
color ins 160,annatto | carrot,colour,todo,
beta-carotene,carrot,colour,todo,
color ins 129,synthetic,colour,todo,
color ins 133,synthetic,colour,todo,
color ins 132,synthetic,colour,todo,
color ins 127,synthetic,colour,todo,
color ins 124,synthetic,colour,todo,
color ins 122,synthetic,colour,todo,
color ins 101,riboflavin,colour,todo,
garlic powder,garlic,taste profile / spice,todo,
ginger powder,ginger,taste profile / spice,todo,
glucose syrup,corn | tapioca,sweetener,todo,
maltose syrup,corn | rice,sweetener,todo,
refined flour,wheat,raw_agricultural_material,todo,
amchur powder,mango,taste profile / spice,todo,
millet flakes,millet,raw_agricultural_material,todo,
little millet,millet,raw_agricultural_material,todo,
finger millet,millet,raw_agricultural_material,todo,
rice bran oil,rice,lipid base,todo,
soya granules,soybean,raw_agricultural_material,todo,
defatted soya,soybean,processed_ingredient,todo,
soya bean oil,soybean,lipid base,todo,
refined sugar,sugarcane,sweetener,todo,
coconut sugar,coconut,sweetener,todo,
sunflower oil,sunflower,lipid base,todo,
wafer biscuit,wheat,raw_agricultural_material,todo,
zinc sulphate,mineral,fortification_agent,todo,
almond pieces,almond,raw_agricultural_material,todo,
whole almonds,almond,raw_agricultural_material,todo,
orange powder,orange,taste profile / spice,todo,
fennel powder,fennel,taste profile / spice,todo,
yeast extract,yeast,flavouring agent,todo,
whey proteins,milk,processed_ingredient,todo,
whey peptides,milk,fortification_agent,todo,
latic culture,lactobacillus,antioxidant|preservative,todo,
ajwair powder,ajwain,taste profile / spice,todo,
bishop's seed,ajwain,taste profile / spice,todo,
bishop's weed,ajwain,taste profile / spice,todo,
apricot juice,apricot,flavouring agent,todo,
arabica beans,coffee,taste profile / spice,todo,
robusta beans,coffee,taste profile / spice,todo,
baking powder,synthetic,raising agent,todo,
banana powder,banana,processed_ingredient,todo,
malted barley,barley,raw_agricultural_material,todo,
tulsi extract,tulsi,flavouring agent,todo,
krishna tulsi,tulsi,taste profile / spice,todo,
cassia leaves,cassia,taste profile / spice,todo,
pepper powder,pepper,taste profile / spice,todo,
cellulose gum,wood pulp | cotton,thickener,todo,
cellulose gum,wood pulp | cotton,thickener,done,"duplicate of row 840"
paneer cheese,milk,processed_ingredient,todo,
cheese powder,milk,processed_ingredient,todo,
chilli powder,chilli,taste profile / spice,todo,
chilli flakes,chilli,taste profile / spice,todo,
green chilies,chilli,taste profile / spice,todo,
mild jalapeño,jalapeño,taste profile / spice,todo,
yellow chilli,chilli,taste profile / spice,todo,
cinnamon bark,cinnamon,taste profile / spice,todo,
clover powder,clover,taste profile / spice,todo,
cloves powder,clove,taste profile / spice,todo,
cacao en pâte,cocoa,taste profile / spice,todo,
shveta jiraka,cumin,taste profile / spice,todo,
cumin extract,cumin,taste profile / spice,todo,
yogurt powder,milk,processed_ingredient,todo,
wheat dextrin,wheat,bulking agent,todo,
mineral salts,mineral,raw_agricultural_material,todo,
cardamom seed,cardamom,taste profile / spice,todo,
greengram dal,greengram,raw_agricultural_material,todo,
groundnut oil,groundnut,lipid base,todo,
blossom honey,honey,sweetener,todo,
alkaline salt,mineral,acidity regulator,todo,
soya lecithin,soybean | sunflower,emulsifier,todo,
black lentils,lentil,raw_agricultural_material,todo,
milk products,milk,raw_agricultural_material,todo,
dairy product,milk,raw_agricultural_material,todo,
rennet casein,milk,fermentation_agent,todo,
mineral salts,mineral,raw_agricultural_material,done,"duplicate of row 857"
mustard seeds,mustard,taste profile / spice,todo,
mustard whole,mustard,taste profile / spice,todo,
nutmeg powder,nutmeg,taste profile / spice,todo,
dried oregano,oregano,taste profile / spice,todo,
passion fruit,passion fruit,flavouring agent,todo,
phenylalaline,synthetic,fortification_agent,todo,
potato flakes,potato,raw_agricultural_material,todo,
potato powder,potato,processed_ingredient,todo,
potato sticks,potato,raw_agricultural_material,todo,
pumpkin seeds,pumpkin,raw_agricultural_material,todo,
puffed quinoa,quinoa,raw_agricultural_material,todo,
rice crispies,rice,raw_agricultural_material,todo,
spinach paste,spinach,raw_agricultural_material,todo,
spinach puree,spinach,raw_agricultural_material,todo,
tamarind pulp,tamarind,flavouring agent,todo,
tartaric acid,synthetic | grape,acidity regulator,todo,
tomato powder,tomato,processed_ingredient,todo,
french tomato,tomato,raw_agricultural_material,todo,
treated water,water,raw_agricultural_material,todo,
ethyl alcohol,sugarcane | corn,solvent,todo,
dl methionine,synthetic,fortification_agent,todo,
dl-methionine,synthetic,fortification_agent,todo,
psyllium husk,psyllium,thickener,todo,
hemicellulase,aspergillus niger,flour treatment agent,todo,
yogurt powder,milk,processed_ingredient,done,"duplicate of row 855"
mackerel fish,mackerel,raw_agricultural_material,todo,
cod liver oil,cod,lipid base,todo,
vegetable fats,palm | soybean | groundnut,lipid base,todo,
vegetable oils,palm | soybean | sunflower | groundnut,lipid base,todo,
grated carrots,carrot,raw_agricultural_material,todo,
yellow 5 color,synthetic,colour,todo,
yellow 6 color,synthetic,colour,todo,
color ins 150a,sugarcane | corn,colour,todo,
color ins 150c,sugarcane | corn,colour,todo,
color ins 150d,sugarcane | corn,colour,todo,
caramel powder,sugarcane,colour|sweetener,todo,
color ins 160b,annatto,colour,todo,
color ins 160c,paprika,colour|taste profile / spice,todo,
colour ins 100,turmeric,colour|taste profile / spice,todo,
color ins 163c,grape | berry,colour,todo,
color ins 160a,annatto | carrot,colour,todo,
color ins e122,synthetic,colour,todo,
cultured cream,milk,fermentation_agent,todo,
ginger extract,ginger,flavouring agent,todo,
liquid glucose,corn | tapioca,sweetener,todo,
hazelnut paste,hazelnut,raw_agricultural_material,todo,
haselnusspaste,hazelnut,raw_agricultural_material,todo,
alphonso mango,mango,raw_agricultural_material,todo,
foxtail millet,millet,raw_agricultural_material,todo,
barnyard flour,barnyard millet,raw_agricultural_material,todo,
pistachio nuts,pistachio,raw_agricultural_material,todo,
powdered sugar,sugarcane,sweetener,todo,
refined sugars,sugarcane,sweetener,todo,
jaggery powder,sugarcane,sweetener,todo,
glucose powder,corn | tapioca,sweetener,todo,
urad dal flour,black gram,raw_agricultural_material,todo,
udad dal flour,black gram,raw_agricultural_material,todo,
black gram dal,black gram,raw_agricultural_material,todo,
wheat crispies,wheat,raw_agricultural_material,todo,
zinc gluconate,synthetic,fortification_agent,todo,
almonds pieces,almond,raw_agricultural_material,todo,
acid regulator,synthetic | corn,acidity regulator,todo,
sodium acetate,synthetic,acidity regulator,todo,
coriander seed,coriander,taste profile / spice,todo,
orange extract,orange,flavouring agent,todo,
tumeric powder,turmeric,colour|taste profile / spice,todo,
turmeric whole,turmeric,taste profile / spice,todo,
snf toned milk,milk,processed_ingredient,todo,
active culture,lactobacillus | streptococcus,fermentation_agent,todo,
s thermophilus,streptococcus thermophilus,fermentation_agent,todo,
s.thermophilus,streptococcus thermophilus,fermentation_agent,todo,
aloe vera bits,aloe vera,raw_agricultural_material,todo,
aniseed powder,anise,taste profile / spice,todo,
instant coffee,coffee,flavouring agent,todo,
soluble coffee,coffee,flavouring agent,todo,
coffee extract,coffee,flavouring agent,todo,
chickpea flour,chickpea,raw_agricultural_material,todo,
split chickpea,chickpea,raw_agricultural_material,todo,
black cardamom,cardamom,taste profile / spice,todo,
brown cardamom,cardamom,taste profile / spice,todo,
large cardamom,cardamom,taste profile / spice,todo,
cooking butter,milk,lipid base,todo,
cereal extract,wheat | rice | corn,raw_agricultural_material,todo,
cottage cheese,milk,processed_ingredient,todo,
cheddar cheese,milk,processed_ingredient,todo,
paneer protein,milk,processed_ingredient,todo,
dry red chilli,chilli,taste profile / spice,todo,
green chillies,chilli,taste profile / spice,todo,
chilli extract,chilli,taste profile / spice,todo,
cinnamon whole,cinnamon,taste profile / spice,todo,
pasta di cacao,cocoa,raw_agricultural_material,todo,
coconut powder,coconut,processed_ingredient,todo,
grated coconut,coconut,raw_agricultural_material,todo,
condensed milk,milk,processed_ingredient,todo,
cottonseed oil,cottonseed,lipid base,todo,
cranberry pulp,cranberry,raw_agricultural_material,todo,
cucumber seeds,cucumber,raw_agricultural_material,todo,
yoghurt powder,milk,processed_ingredient,todo,
cyanocobalamin,synthetic,fortification_agent,todo,
dairy whitener,milk,processed_ingredient,todo,
ergocalciferol,synthetic,fortification_agent,todo,
flour improver,synthetic,flour treatment agent,todo,
green cardamom,cardamom,taste profile / spice,todo,
cardamom whole,cardamom,taste profile / spice,todo,
small cardamom,cardamom,taste profile / spice,todo,
moon dal flour,green gram,raw_agricultural_material,todo,
lentil protein,lentil,processed_ingredient,todo,
moth dal flour,moth bean,raw_agricultural_material,todo,
mustard leaves,mustard,taste profile / spice,todo,
organic nutmeg,nutmeg,taste profile / spice,todo,
parsley leaves,parsley,taste profile / spice,todo,
sherwan pepper,pepper,taste profile / spice,todo,
split red gram,pigeon pea,raw_agricultural_material,todo,
red gram split,pigeon pea,raw_agricultural_material,todo,
redgram splits,pigeon pea,raw_agricultural_material,todo,
pineapple pulp,pineapple,raw_agricultural_material,todo,
wheat semolina,wheat,raw_agricultural_material,todo,
sodium citrate,synthetic | corn,acidity regulator,todo,
sorbitol syrup,corn,humectant,todo,
spinach powder,spinach,processed_ingredient,todo,
tapioca starch,tapioca,processed_ingredient,todo,
vanila extract,vanilla,flavouring agent,todo,
vanilleschoten,vanilla,taste profile / spice,todo,
filtered water,water,raw_agricultural_material,todo,
resultant atta,wheat,raw_agricultural_material,todo,
l-arginine hcl,synthetic,fortification_agent,todo,
basa pangasius,fish,raw_agricultural_material,todo,
bovine gelatin,beef,gelling agent,todo,
datem ins 472e,palm | soybean | sunflower,emulsifier,todo,
dried bok choy,bok choy,raw_agricultural_material,todo,
hadjod extract,hadjod,raw_agricultural_material,todo,
jackfruit pulp,jackfruit,raw_agricultural_material,todo,
yellow pumpkin,pumpkin,raw_agricultural_material,todo,
color ins 161g,marigold,colour,todo,
macaroni pasta,wheat,raw_agricultural_material,todo,
walnut inshell,walnut,raw_agricultural_material,todo,
water caltrope,water caltrop,raw_agricultural_material,todo,
yoghurt powder,milk,processed_ingredient,done,"duplicate of row 966"
palm kernel oil,palm,lipid base,todo,
palm kernel fat,palm,lipid base,todo,
palm superolein,palm,lipid base,todo,
sodium chloride,mineral,raw_agricultural_material,todo,
color ins 100 i,turmeric,colour,todo,
allura red lake,synthetic,colour,todo,
modified starch,corn | tapioca | potato,thickener,todo,
hazelnut pieces,hazelnut,raw_agricultural_material,todo,
magnesium oxide,mineral,fortification_agent,todo,
vollmilchpulver,milk,processed_ingredient,todo,
full cream milk,milk,raw_agricultural_material,todo,
mint flavouring,mint,flavouring agent,todo,
sodium selenite,mineral,NULL,todo,
sodium selenate,mineral,NULL,todo,
sweetener 960 a,stevia,sweetener,todo,
strawberry pulp,strawberry,raw_agricultural_material,todo,
sprinkled sugar,sugarcane,sweetener,todo,
sugarcane juice,sugarcane,sweetener,todo,
fructose powder,sugarcane | corn,sweetener,todo,
retinyl acetate,synthetic | fish liver oil,NULL,todo,
roasted almonds,almond,raw_agricultural_material,todo,
fenugreek seeds,fenugreek,taste profile / spice,todo,
coriander seeds,coriander,taste profile / spice,todo,
coriander whole,coriander,taste profile / spice,todo,
coriander puree,coriander,taste profile / spice,todo,
turmeric powder,turmeric,taste profile / spice,todo,
turmeris powder,turmeric,taste profile / spice,todo,
saffron threads,saffron,taste profile / spice,todo,
dehydrated peas,peas,raw_agricultural_material,todo,
a2 cow milk fat,milk,lipid base,todo,
aloe vera juice,aloe vera,humectant,todo,
silicon dioxide,mineral,anticaking agent,todo,
apricot kernels,apricot,raw_agricultural_material,todo,
bengal gram dal,bengal gram,raw_agricultural_material,todo,
chickpeas flour,chickpea,raw_agricultural_material,todo,
assam black tea,tea plant,flavouring agent,todo,
kashmiri chilli,chilli,taste profile / spice,todo,
red chilli bits,chilli,taste profile / spice,todo,
cholecalciferol,fish liver oil | synthetic,fortification_agent,todo,
cinnamon leaves,cinnamon,taste profile / spice,todo,
cinnamon powder,cinnamon,taste profile / spice,todo,
copper sulphate,mineral,NULL,todo,
cupric sulphate,mineral,NULL,todo,
emulsifier pgpr,castor bean,emulsifier,todo,
enzyme ins 1100,synthetic,enzyme,todo,
improver enzyme,synthetic,flour treatment agent,todo,
cardamom powder,cardamom,taste profile / spice,todo,
split moong dal,mung bean,raw_agricultural_material,todo,
split mung bean,mung bean,raw_agricultural_material,todo,
moong dal flour,mung bean,raw_agricultural_material,todo,
hyaluronic acid,synthetic,humectant,todo,
carrier lactose,milk,carrier,todo,
lime flavouring,lime,flavouring agent,todo,
milk components,milk,raw_agricultural_material,todo,
milk flavouring,milk,flavouring agent,todo,
micellar casein,milk,processed_ingredient,todo,
moringa extract,moringa,NULL,todo,
moth bean flour,moth bean,raw_agricultural_material,todo,
dew beans flour,dew bean,raw_agricultural_material,todo,
husked dew gram,dew bean,raw_agricultural_material,todo,
oyster mushroom,mushroom,raw_agricultural_material,todo,
schezwan pepper,schezwan pepper,taste profile / spice,todo,
pineapple juice,pineapple,flavouring agent,todo,
anardana powder,pomegranate,taste profile / spice,todo,
mineral ins 224,mineral,preservative,todo,
mineral ins 202,mineral,preservative,todo,
red rice flakes,red rice,raw_agricultural_material,todo,
rose flavouring,rose,flavouring agent,todo,
roasted seaweed,seaweed,taste profile / spice,todo,
silicon dioxide,mineral,anticaking agent,done,"duplicate of row 1038"
sodium benzoate,synthetic,preservative,todo,
stinging nettle,stinging nettle,raw_agricultural_material,todo,
sunflower seeds,sunflower,raw_agricultural_material,todo,
tamarind powder,tamarind,taste profile / spice,todo,
triphala powder,amla | bibhitaki | haritaki,taste profile / spice,todo,
vanilla extract,vanilla,flavouring agent,todo,
distilled water,water,NULL,todo,
sparkling water,water,NULL,todo,
gelatin ins 428,pork | beef | fish,gelling agent,todo,
buckwheat flour,buckwheat,raw_agricultural_material,todo,
enzyme ins 1104,synthetic,enzyme,todo,
protease enzyme,synthetic,enzyme,todo,
psyllium powder,psyllium,thickener,todo,
guduchi extract,guduchi,NULL,todo,
phosphoric acid,mineral,acidity regulator,todo,
precooked pasta,wheat,processed_ingredient,todo,
salmon fish oil,salmon,lipid base,todo,
refined palm oil,palm,lipid base,todo,
fractionated fat,palm,lipid base,todo,
caramel ins 150c,sugarcane,colour,todo,
annatto ins 160b,annatto,colour,todo,
annatto extracts,annatto,colour,todo,
paprika extracts,paprika,colour,todo,
curcumin ins 100,turmeric,colour,todo,
beet red ins 162,beetroot,colour,todo,
titanium dioxide,mineral,colour,todo,
artificial color,synthetic,colour,todo,
wet dates zahldi,date,sweetener,todo,
nocciole turchia,hazelnut,raw_agricultural_material,todo,
magnesium malate,synthetic | apple,acidity regulator,todo,
fine wheat flour,wheat,raw_agricultural_material,todo,
wheat flour iron,wheat,raw_agricultural_material,todo,
dry mango powder,mango,taste profile / spice,todo,
mango flavouring,mango,flavouring agent,todo,
dried whole milk,milk,processed_ingredient,todo,
magermilchpulver,milk,processed_ingredient,todo,
mint leaf powder,mint,taste profile / spice,todo,
pistachio pieces,pistachio,raw_agricultural_material,todo,
pista flavouring,pistachio,flavouring agent,todo,
refined soya oil,soybean,lipid base,todo,
strawberry fruit,strawberry,raw_agricultural_material,todo,
strawberry puree,strawberry,raw_agricultural_material,todo,
strawberry juice,strawberry,flavouring agent,todo,
granulated sugar,sugarcane,sweetener,todo,
split black gram,black gram,raw_agricultural_material,todo,
sunflower gluten,sunflower,processed_ingredient,todo,
flax seed powder,flax,processed_ingredient,todo,
badam flavouring,almond,flavouring agent,todo,
fenugreek leaves,fenugreek,taste profile / spice,todo,
fenugreek powder,fenugreek,taste profile / spice,todo,
coriander powder,coriander,taste profile / spice,todo,
coriander leaves,coriander,taste profile / spice,todo,
coniander powder,coriander,taste profile / spice,todo,
kesar flavouring,saffron,flavouring agent,todo,
calcium silicate,mineral,anticaking agent,todo,
apple flavouring,apple,flavouring agent,todo,
arrowroot powder,arrowroot,processed_ingredient,todo,
chick peas flour,chickpea,raw_agricultural_material,todo,
split chick peas,chickpea,raw_agricultural_material,todo,
black tea leaves,tea,flavouring agent,todo,
assam tea leaves,tea,flavouring agent,todo,
butter from milk,milk,lipid base,todo,
microbial rennet,synthetic,fermentation_agent,todo,
pasteurized milk,milk,raw_agricultural_material,todo,
processed cheese,milk,processed_ingredient,todo,
red chili powder,chili,taste profile / spice,todo,
red chilli whole,chili,taste profile / spice,todo,
choline chloride,synthetic,NULL,todo,
diluent ins 1520,synthetic,carrier,todo,
egg white powder,egg,processed_ingredient,todo,
ferrous sulphate,mineral,antioxidant,todo,
clarified butter,milk,lipid base,todo,
split green gram,green gram,raw_agricultural_material,todo,
green tea leaves,tea,flavouring agent,todo,
guava flavouring,guava,flavouring agent,todo,
honey flavouring,honey,flavouring agent,todo,
jamun flavouring,jamun,flavouring agent,todo,
kewra flavouring,kewra,flavouring agent,todo,
lactobilus casei,milk,NULL,todo,
lemon flavouring,lemon,flavouring agent,todo,
dairy flavouring,milk,flavouring agent,todo,
onion flavouring,onion,flavouring agent,todo,
dehydrated onion,onion,flavouring agent,todo,
pantothenic acid,synthetic | corn,NULL,todo,
potassium iodate,mineral,antioxidant,todo,
potassium iodide,mineral,antioxidant,todo,
gulab flavouring,rose,flavouring agent,todo,
rosemary extract,rosemary,flavouring agent,todo,
sodium molybdate,mineral,antioxidant,todo,
soy sauce powder,soybean | wheat,taste profile / spice,todo,
star anise seeds,star anise,taste profile / spice,todo,
watermelon seeds,watermelon,raw_agricultural_material,todo,
blackberry puree,blackberry,raw_agricultural_material,todo,
sodium caseinate,milk,processed_ingredient,todo,
cultured glucose,corn | tapioca,sweetener,todo,
improver ins 472,palm | soybean | sunflower,emulsifier,todo,
gajar flavouring,carrot,flavouring agent,todo,
microbial enzyme,synthetic,fermentation_agent,todo,
ferrous fumarate,mineral,fortification_agent,todo,
glucuronolactone,synthetic | corn,NULL,todo,
quillaja extract,quillaja,foaming agent,todo,
sourdough powder,wheat,processed_ingredient,todo,
sardine fish oil,sardine,lipid base,todo,
refined palmolein,palm,lipid base,todo,
bakery shortening,palm | soybean | groundnut,lipid base,todo,
hydrogenated oils,palm | soybean | groundnut,lipid base,todo,
sauvarchalalavana,mineral,taste profile / spice,todo,
dehydrated carrot,carrot,raw_agricultural_material,todo,
carrot flavouring,carrot,flavouring agent,todo,
color ins 160b ii,annatto,colour,todo,
chlorophyll color,green leaves,colour,todo,
color ins 160a ii,carrot,colour,todo,
allura red ac 129,synthetic,colour,todo,
color fd&c red 40,synthetic,colour,todo,
color blue 1 lake,synthetic,colour,todo,
color blue 2 lake,synthetic,colour,todo,
artificial colors,synthetic,colour,todo,
dehydrated garlic,garlic,taste profile / spice,todo,
garlic flavouring,garlic,flavouring agent,todo,
corn syrup solids,corn,sweetener|bulking agent,todo,
candy sugar syrup,sugarcane,sweetener,todo,
pasta di nocciole,hazelnut,raw_agricultural_material,todo,
purée de noisette,hazelnut,raw_agricultural_material,todo,
roasted hazelnuts,hazelnut,taste profile / spice,todo,
haselnüsse türkei,hazelnut,raw_agricultural_material,todo,
noisettes turquie,hazelnut,raw_agricultural_material,todo,
magnesium sulfate,mineral,firming agent,todo,
magnesium taurate,mineral,firming agent,todo,
whole milk powder,milk,processed_ingredient,todo,
camel milk powder,camel milk,processed_ingredient,todo,
standardised milk,milk,raw_agricultural_material,todo,
pudina flavouring,mint,flavouring agent,todo,
soya bean extract,soybean,raw_agricultural_material,todo,
steviol glycoside,stevia,sweetener,todo,
sweetener ins 960,stevia,sweetener,todo,
strawberry powder,strawberry,flavouring agent,todo,
candy sugar syrup,sugarcane,sweetener,done,"duplicate of row 1197"
husked black gram,black gram,raw_agricultural_material,todo,
distilled vinegar,sugarcane,acidity regulator,todo,
synthetic vinegar,synthetic,acidity regulator,todo,
vitamin a acetate,synthetic,fortification_agent,todo,
retinyl palmitate,palm,NULL,todo,
flax seed extract,flax,raw_agricultural_material,todo,
almond flavouring,almond,flavouring agent,todo,
acidity regulator,synthetic | mineral,acidity regulator,todo,
coagulant ins 575,corn,coagulant,todo,
calcium phosphate,mineral,firming agent,todo,
humectant ins 451,synthetic,humectant,todo,
humectant ins 452,synthetic,humectant,todo,
sodium phosphates,mineral,acidity regulator|emulsifier|sequestrant,todo,
calcium carbonate,mineral,anticaking agent|colour,todo,
asafoetida powder,asafoetida,taste profile / spice,todo,
stabilizer ns 415,corn,stabiliser,todo,
thickener ins 415,corn,thickener,todo,
coriander extract,coriander,taste profile / spice,todo,
citrus pulp cells,citrus,raw_agricultural_material,todo,
orange pulp cells,orange,raw_agricultural_material,todo,
orange flavouring,orange,flavouring agent,todo,
turmeric extracts,turmeric,colour,todo,
double toned milk,milk,raw_agricultural_material,todo,
standardised milk,milk,raw_agricultural_material,done,"duplicate of row 1207"
standardized milk,milk,raw_agricultural_material,todo,
sweetener ins 950,synthetic,sweetener,todo,
antifoaming agent,synthetic,antifoaming agent,todo,
anticaking agents,mineral,anticaking agent,todo,
coffee flavouring,coffee,flavouring agent,todo,
dry cassia leaves,cassia,taste profile / spice,todo,
bengal gram flour,bengal gram,raw_agricultural_material,todo,
